year,seniority_level,employment_status,job_title,salary_in_currency,salary_currency,salary,country,remote_ratio,company_location,company_size,ratio,survey,salary_norm,job_category,z_score,modif_z_score
2024,senior,ft,data analyst,147500,usd,147500,us,0,us,m,1.0,ai,2.2594975490196076,Data Analyst,-0.21466860253942086,0.2107812500000003
2024,senior,ft,data analyst,85000,usd,85000,us,0,us,m,1.0,ai,1.3020833333333333,Data Analyst,-0.57002938069481,1.2646874999999997
2024,senior,ft,data architect,175000,usd,175000,us,0,us,m,1.0,ai,2.6807598039215685,Architects,-0.058309860151049574,0.2529374999999996
2024,senior,ft,data architect,117000,usd,117000,us,0,us,m,1.0,ai,1.7922794117647058,Architects,-0.3880846622792507,0.7250874999999999
2024,junior,ft,data analyst,102927,usd,102927,au,0,au,m,1.0,ai,1.7695693286340584,Data Analyst,0.10717372737556939,0.5927361507430979
2024,junior,ft,data analyst,95010,usd,95010,au,0,au,m,1.0,ai,1.6334565460328376,Data Analyst,-0.007215253657973336,0.36191655007619683
2024,junior,ft,business intelligence analyst,157400,usd,157400,us,100,us,m,1.0,ai,2.4111519607843137,Business Analyst,0.6463588218093657,1.6807298286154442
2024,junior,ft,business intelligence analyst,98600,usd,98600,us,100,us,m,1.0,ai,1.5104166666666667,Business Analyst,-0.11061778616236784,0.15326593491238238
2024,junior,ft,data analyst,83000,usd,83000,us,100,us,m,1.0,ai,1.2714460784313726,Data Analyst,-0.31144831480792984,0.25197958790679736
2024,junior,ft,data analyst,64000,usd,64000,us,100,us,m,1.0,ai,0.9803921568627451,Data Analyst,-0.5560495996967554,0.7455478528788754
2024,senior,ft,data engineer,200000,usd,200000,us,100,us,m,1.0,ai,3.0637254901960786,Data Engineer,0.0838344511111062,0.6744999999999998
2024,senior,ft,data engineer,90000,usd,90000,us,100,us,m,1.0,ai,1.3786764705882353,Data Engineer,-0.5416005184423788,1.1803749999999997
2024,senior,ft,ml engineer,250000,usd,250000,us,100,us,m,1.0,ai,3.829656862745098,Data Scientist/ ML Engineer,0.3681230736354174,1.517624999999999
2024,senior,ft,ml engineer,190000,usd,190000,us,100,us,m,1.0,ai,2.9105392156862746,Data Scientist/ ML Engineer,0.02697672660624389,0.5058749999999997
2024,senior,ft,ml engineer,258750,usd,258750,us,0,us,m,1.0,ai,3.9636948529411766,Data Scientist/ ML Engineer,0.417873582577172,1.665171874999999
2024,senior,ft,ml engineer,191250,usd,191250,us,0,us,m,1.0,ai,2.9296875,Data Scientist/ ML Engineer,0.034083942169351636,0.5269531249999996
2024,junior,ft,ml engineer,177100,usd,177100,us,0,us,m,1.0,ai,2.7129289215686274,Data Scientist/ ML Engineer,0.8999717329835689,2.192482187560177
2024,junior,ft,ml engineer,130900,usd,130900,us,0,us,m,1.0,ai,2.0052083333333335,Data Scientist/ ML Engineer,0.30520439814863554,0.9923319853649148
2024,junior,ft,data analyst,99200,usd,99200,us,100,us,m,1.0,ai,1.5196078431372548,Data Analyst,-0.10289353506061558,0.16885230117465827
2024,junior,ft,data analyst,69400,usd,69400,us,100,us,m,1.0,ai,1.0631127450980393,Data Analyst,-0.48653133978098384,0.6052705565183898
2024,medior,ft,encounter data management professional,79500,usd,79500,us,100,us,m,1.0,ai,1.2178308823529411,Uncategorized,-0.4104161107958745,0.8786250000000001
2024,medior,ft,encounter data management professional,57700,usd,57700,us,100,us,m,1.0,ai,0.8838848039215687,Uncategorized,-0.54117712170411,1.2655750000000001
2024,senior,ft,data engineer,179000,usd,179000,us,0,us,m,1.0,ai,2.7420343137254903,Data Engineer,-0.03556677034910458,0.3203874999999998
2024,senior,ft,data engineer,112000,usd,112000,us,0,us,m,1.0,ai,1.7156862745098038,Data Engineer,-0.41651352453168183,0.8093999999999999
2024,senior,ft,machine learning engineer,206000,usd,206000,us,0,us,m,1.0,ai,3.155637254901961,Data Scientist/ ML Engineer,0.11794908581402352,0.7756749999999996
2024,senior,ft,machine learning engineer,97335,usd,97335,us,0,us,m,1.0,ai,1.4910386029411764,Data Scientist/ ML Engineer,-0.49989537751806234,1.0566885624999998
2024,medior,ft,machine learning engineer,223900,usd,223900,us,100,us,m,1.0,ai,3.4298406862745097,Data Scientist/ ML Engineer,0.4557256311834466,1.6844750000000002
2024,medior,ft,machine learning engineer,140100,usd,140100,us,100,us,m,1.0,ai,2.146139705882353,Data Scientist/ ML Engineer,-0.046924493317018146,0.1970249999999999
2024,senior,ft,data architect,75000,gbp,93750,gb,0,gb,m,1.25,ai,2.165677192820347,Architects,-0.24949164385167766,0.3140571969784473
2024,senior,ft,data architect,65000,gbp,81250,gb,0,gb,m,1.25,ai,1.876920233777634,Architects,-0.35666876320293917,0.6319162373813207
2024,senior,ft,data manager,144300,usd,144300,us,100,us,m,1.0,ai,2.2104779411764706,Other managers,-0.2328630743809767,0.2647412500000001
2024,senior,ft,data manager,104800,usd,104800,us,100,us,m,1.0,ai,1.6053921568627452,Other managers,-0.4574510861751826,0.9308099999999997
2024,medior,ft,business intelligence,168000,usd,168000,us,100,us,l,1.0,ai,2.573529411764706,Business Analyst,0.12042560779948516,0.6922500000000004
2024,medior,ft,business intelligence,78400,usd,78400,us,100,us,l,1.0,ai,1.2009803921568627,Business Analyst,-0.41701414345638177,0.8981500000000001
2024,senior,ft,data analyst,207300,usd,207300,us,0,us,m,1.0,ai,3.1755514705882355,Data Analyst,0.12534058999965567,0.7975962499999997
2024,senior,ft,data analyst,114700,usd,114700,us,0,us,m,1.0,ai,1.757046568627451,Data Analyst,-0.401161938915369,0.7638712499999998
2024,senior,ft,data scientist,265000,usd,265000,us,100,us,m,1.0,ai,4.059436274509804,Data Scientist/ ML Engineer,0.4534096603927109,1.7705624999999994
2024,senior,ft,data scientist,220000,usd,220000,us,100,us,m,1.0,ai,3.3700980392156863,Data Scientist/ ML Engineer,0.19754990012083065,1.0117499999999995
2024,senior,ft,business intelligence analyst,120000,usd,120000,us,0,us,m,1.0,ai,1.838235294117647,Business Analyst,-0.37102734492779205,0.6745
2024,senior,ft,business intelligence analyst,100000,usd,100000,us,0,us,m,1.0,ai,1.5318627450980393,Business Analyst,-0.4847427939375165,1.0117499999999997
2024,senior,ft,machine learning engineer,306000,usd,306000,us,0,us,m,1.0,ai,4.6875,Data Scientist/ ML Engineer,0.6865263308626461,2.4619249999999986
2024,senior,ft,machine learning engineer,151600,usd,151600,us,0,us,m,1.0,ai,2.3223039215686274,Data Scientist/ ML Engineer,-0.19135693549242724,0.14164500000000016
2024,executive,ft,data science,300000,usd,300000,us,100,us,m,1.0,ai,4.595588235294118,Data Scientist/ ML Engineer,1.203311165942776,1.4910821759259252
2024,executive,ft,data science,220000,usd,220000,us,100,us,m,1.0,ai,3.3700980392156863,Data Scientist/ ML Engineer,0.14107057845611404,0.24200810185185162
