age,city,job_title,seniority_level,language_at_work,company_size,company_type,salary,year,country,experience,skills,skills_2,employment_status,years_of_experience_in_germany,job_title_2,your_seniority_level,skills_3,company_industry,survey,salary_norm,job_category,z_score,modif_z_score
26.0,munich,software engineer,senior,english,51-100,product,96939.2841546948,2020,de,5,typescript,"kotlin, javascript / typescript",full-time employee,3,,,,,it,2.077878896420269,Software Engineer,0.022143936070563953,0.6745
26.0,berlin,backend developer,senior,english,101-1000,product,91236.97332206569,2020,de,7,ruby,,full-time employee,4,,,,,it,1.955650726042606,Back End,-0.14054625317001604,0.3372499999999997
28.0,berlin,frontend developer,junior,english,51-100,startup,61584.95699239435,2020,de,4,javascript,,full-time employee,1,,,,,it,1.3200642400787592,Front End,-0.18762501028829495,0.20753846153846245
37.0,berlin,backend developer,senior,english,101-1000,product,70708.65432460091,2020,de,17,c# .net,".net, sql, aws, docker",full-time employee,6,,,,,it,1.5156293126830196,Back End,-0.726230934436104,0.8768500000000014
32.0,berlin,devops,senior,english,11-50,startup,92377.43548859152,2020,de,5,"aws, gcp, python,k8s","python, aws, google cloud, kubernetes, docker",full-time employee,1,,,,,it,1.9800963601181387,DevOps Engineer,-0.10800821532189975,0.4047000000000004
37.0,berlin,frontend developer,medior,english,11-50,product,65006.34349197181,2020,de,6,javascript,,full-time employee,0.4,,,,,it,1.393401142305357,Front End,-0.4375446210928347,0.5246111111111105
24.0,berlin,frontend developer,senior,english,1000+,product,74130.04082417837,2020,de,5,typescript,javascript / typescript,full-time employee,1,,,,,it,1.5889662149096173,Front End,-0.628616820891756,0.6745000000000012
29.0,berlin,backend developer,senior,english,101-1000,product,63865.88132544599,2020,de,8,php,"sql, aws, docker",full-time employee,2,,,,,it,1.3689555082298241,Back End,-0.9214591615248,1.2815500000000017
35.0,berlin,software engineer,executive,english,101-1000,product,108343.90581995301,2020,de,15,java,,full-time employee,3,,,,,it,2.3223352371755945,Software Engineer,-0.31445737453083805,0.0
32.0,hamburg,data engineer,junior,german,101-1000,consulting / agency,59874.26374260562,2020,de,2,aws hadoop postgre typescript,"python, kotlin, javascript / typescript, sql, aws",full-time employee,2,,,,,it,1.2833957889654604,Data Engineer,-0.2497810913283795,0.05188461538461633
,berlin,software engineer,executive,english,1000+,,148260.08164835675,2020,de,,php,,full-time employee,,,,,,it,3.1779324298192346,Software Engineer,0.4488320849654238,1.5738333333333334
34.0,berlin,software engineer,senior,english,11-50,startup,79832.35165680748,2020,de,14,typescript,"php, javascript / typescript, aws",full-time employee,5,,,,,it,1.7111943852872802,Software Engineer,-0.46592663165117604,0.33725000000000094
