City,Your city,Employment status,Your employment status,Position,Your position,Total years of experience,Years of experience in Germany,Seniority level,Your seniority level,Main technology / programming language,Other technologies/programming languages you use often,Years in the current workplace,What languages do you speak and use at work?,Your main technology,Just a few more general questions,Company size,Annual gross salary without bonus and stocks in EUR,Annual Brutto salary with bonus and stocks in EUR,Annual bonus+stocks one year ago.,Number of vacation days,Hourly rate in EUR,Working hours for the last year,Number of days off in the last year,"Third-party income from small customers or own projects (annualy, in EUR)",Working hours per week,layoff affects you,company layoffs,Work From Home allowance
Berlin,,Full-time employee,,Backend Developer,,5,1,Middle,,Go,"Javascript / Typescript,NodeJS, React,Go,SQL,Kubernetes,Terraform,Docker,AWS",5,English,,,1000+,92000,0,,28,,,,,,,No,100 - 500
Other,Friedrichshafen,Full-time employee,,Tech Lead / Team Lead,,18,10,Head / Principal,,C / C++,Other,9,German,,,11-50,84000,91000,89000,30,,,,,,,No,No
Berlin,,Full-time employee,,Engineering Manager,,11,3,Lead / Staff,,Java,"SQL,AWS,Terraform,Docker",3,English,,,1000+,105000,115000,105000,30,,,,,,,No,up to 100 euro
Berlin,,Full-time employee,,Engineering Manager,,15,7,Lead / Staff,,JavaScript / Typescript," React,NodeJS,SQL,AWS,Docker",0,English,,,1000+,115000,140000,90000,30,,,,,,,No,over 1000 euros
Berlin,,Full-time employee,,Other,SRE,10,2,Middle,,Other,"Python,Kubernetes,Docker,AWS",2,"English,Russian",AWS,,101-1000,67000,76000,68000,28,,,,,,No,Yes,No
Berlin,,Full-time employee,,Backend Developer,,16,7,Middle,,NodeJS,Javascript / Typescript,1,English,,,1000+,85000,85000,82500,28,,,,,,No,Yes,No
Berlin,,Full-time employee,,Mobile Developer,,7,5,Senior,,Kotlin,Java / Scala,1,German,,,11-50,80000,85000,80000,30,,,,,,,No,No
Berlin,,Full-time employee,,Mobile Developer,,6,4,Middle,,Swift,"Kotlin,Javascript / Typescript",1,English,,,1000+,92500,125000,118000,28,,,,,,No,Yes,over 1000 euros
Berlin,,Full-time employee,,Software Engineer,,15,0,Senior,,Python,"Python,AWS",0,English,,,1000+,103000,125000,,28,,,,,,No,Yes,over 1000 euros
Berlin,,Full-time employee,,Backend Developer,,6,2,Senior,,Java,"SQL,Docker,Kubernetes,Google Cloud",0,English,,,101-1000,85000,0,85000,30,,,,,,,No,No
Berlin,,Full-time employee,,Backend Developer,,7,3,Senior,,Java,,0,English,,,1000+,95000,30,86000,Unlimited,,,,,,,No,over 1000 euros
Berlin,,Full-time employee,,Data Scientist,,6,6,Senior,,Python,"AWS,SQL,Docker",0,English,,,1000+,112000,150000,88000,30,,,,,,No,Yes,No
Stuttgart,,Full-time employee,,QA Engineer,,5,3,Middle,,Other,,3,"English,German,Russian",,,101-1000,60000,60000,60000,30,,,,,,,No,100 - 500
Berlin,,Full-time employee,,ML Engineer,,4,1,Middle,,Python,"Python,AWS,Docker,Java / Scala",1,English,,,1000+,81000,81000,75000,27,,,,,,,No,No
Stuttgart,,Full-time employee,,Software / Solutions Architect,,24,5,Senior,,Other,"AWS,Kubernetes,Terraform",1,"English,Russian",Erlang,,1000+,142000,170000,120000,30,,,,,,No,Yes,No
Berlin,,Full-time employee,,Software Engineer,,6,3,Senior,,Ruby,"Javascript / Typescript,Terraform,Java / Scala,NodeJS",0,English,,,1000+,125000,252000,85000,33,,,,,,No,Yes,100 - 500
Berlin,,Full-time employee,,Software Engineer,,10,5,Senior,,C# / .NET,"Javascript / Typescript,Angular,SQL,Docker",3,English,,,1000+,80000,80000,78000,30,,,,,,,No,No
Berlin,,Full-time employee,,Data Scientist,,12,7,Head / Principal,,Python,AWS,4,English,,,1000+,130000,200000,220000,28,,,,,,,No,100 - 500
Munich,,Full-time employee,,Software Engineer,,7,5,Senior,,JavaScript / Typescript,React,0,English,,,51-100,112000,120000,80000,"unlimited, min 25",,,,,,No,Yes,No
Berlin,,Full-time employee,,Product Manager,,15,4,Lead / Staff,,Other,,0,"English,German",Product :),,51-100,92000,102000,90000,30,,,,,,,No,No
Berlin,,Full-time employee,,BI Developer / Data Engineer,,25,7,Head / Principal,,Python,SQL,4,Russian,,,up to 10,84000,84000,80000,30,,,,,,,No,No
Frankfurt,,Full-time employee,,Software / Solutions Architect,,14,14,Lead / Staff,,Python,"Python,Java / Scala,R,SQL",4,"English,German",,,1000+,140000,170000,140000,30,,,,,,,No,100 - 500
Hamburg,,Full-time employee,,Software Engineer,,15,8,Senior,,Python,,0,English,,,1000+,110000,150000,120000,30,,,,,,No,Yes,over 1000 euros
Berlin,,Full-time employee,,Software Engineer,,15,7,Senior,,JavaScript / Typescript,,0,English,,,1000+,110000,146000,,30,,,,,,,No,over 1000 euros
Berlin,,Full-time employee,,Engineering Manager,,11,0,Senior,,Other,,4,"English,Russian",,,1000+,120000,168000,,30,,,,,,No,Yes,No
Munich,,Full-time employee,,Software Engineer,,11,3,Senior,,Java,"Kotlin,Javascript / Typescript, React,Java / Scala,SQL,AWS,Docker",3,English,,,11-50,90000,90000,85000,30,,,,,,,No,No
Hamburg,,Full-time employee,,Software Engineer,,4,4,Middle,,C# / .NET,Python,4,"German,English",,,11-50,60000,68000,64000,30,,,,,,,No,No
