City,Your city,Employment status,Position,Your position,Total years of experience,Years of experience in Germany,Seniority level,Your seniority level,Main technology / programming language,Your main technology,Other technologies/programming languages you use often,Years in the current workplace,What languages do you speak and use at work?,Company size,Annual gross salary without bonus and stocks in EUR,Annual gross salary with bonus and stocks in EUR,Annual gross salary+bonus+stocks one year ago.,Number of vacation days,Hourly rate in EUR,Working hours for the last year,Number of days off in the last year,"Third-party income from small customers or own projects (annualy, in EUR)",Working hours per week,layoff affects you,company_layoffs,Work From Home allowance,Did you already find a new job?,employment_status_change_in_2023,Do you currently search for a job?,How long have you been unemployed? (in months),company_hire_in_2023,company_industry,change_jobs,tc_new_job,change_jobs_voluntary,how_long_find_job,ai_impact,ai_use,ai_tool,ai_other_tools
Berlin,,Full/Part-time employee,Software Engineer,,15,1,Senior,,Kotlin,,"SQL,Python,Java / Scala",4.00,English,1000+,100000,110000,,,,,,,40,,No,No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Great,Yes,"Other,ChatGPT",
Berlin,,Full/Part-time employee,Software Engineer,,14,4,Senior,,Go,,"Kubernetes,Docker",1.50,English,1000+,95000,95000,88000,27,,,,,40,,"Yes, in 2022",No,,No,,,Yes,Financial Services,No,,,,Invisible,No,,
Berlin,,Full/Part-time employee,Software Engineer,,3,2,Middle,,Python,,Docker,3.00,"English,Russian",up to 10,45000,45000,45000,28,,,,,40,No,"Yes, in 2023",No,,No,,,No,"Information Services, IT, Software Development, or other Technology",No,,,,Great,Yes,"Copilot,ChatGPT",
Berlin,,Full/Part-time employee,Data Scientist,,7,7,Senior,,Python,,SQL,1.00,English,1000+,118000,170000,155000,30,,,,,40,No,"Yes, both in 2022-2023",No,,No,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,Great,Yes,ChatGPT,
Munich,,Full/Part-time employee,Software Engineer,,6,2,Senior,,JavaScript / Typescript,," React,AWS",2.00,English,11-50,85000,115000,75000,30,,,,,40,,No,No,,No,,,Yes,Insurance,No,,,,Great,Yes,"ChatGPT,Copilot",
Frankfurt,,Full/Part-time employee,Software Engineer,,9,7,Senior,,JavaScript / Typescript,,"Python, React",0.40,English,101-1000,120000,135000,110000,unlimited,,,,,40,No,"Yes, both in 2022-2023",100 - 500,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",Yes,better than it was,"Voluntary, it was my decision","1,0",Great,Yes,ChatGPT,
Berlin,,Full/Part-time employee,Data Scientist,,8,1,Senior,,R,,"Python,SQL,Azure",0.20,English,101-1000,80000,80000,90000,30,,,,,40,,I dont know,No,,Unemployed,,,Yes,Financial Services,Yes,worse than it was,"Involuntarily, I was forced to look for a new job","3,0",Moderate but noticeable,No,,
Berlin,,Full/Part-time employee,Tech Lead / Team Lead,,13,3,Lead / Staff,,Python,,"Docker,Terraform,Kubernetes,Google Cloud,NodeJS",1.25,"English,Russian",1000+,100000,105000,100000,30,,,,,40,No,"Yes, both in 2022-2023",500 - 1000,,No,,,"Yes, but only for backfilling",Retail and Consumer Services,No,,,,Invisible,No,,
Berlin,,Full/Part-time employee,Data Scientist,,6,1,Senior,,Python,,Kubernetes,1.00,English,1000+,90000,90000,90000,30,,,,,40,,No,No,,No,,,Yes,Retail and Consumer Services,No,,,,Invisible,No,,
Berlin,,Full/Part-time employee,ML Engineer,,4,1,Middle,,Python,,"Docker,Azure,SQL",1.00,English,11-50,89000,99000,,30,,,,,40,,No,No,,No,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,Moderate but noticeable,No,,
Berlin,,Full/Part-time employee,Software Engineer,,6,2,Senior,,Java,,Kotlin,5.00,"Russian,English",1000+,111000,121000,100000,30,,,,,40,,No,No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Invisible,Yes,ChatGPT,
