	Occurrence
df_ai_salary_null_values_encountered	0
df_ai_salary_strings_encountered	0
df_ai_salary_leading_trailing_whitespace	0
df_ai_salary_+-_characters_removed	0
df_ai_salary_commas_replaced	0
df_it18_salary_null_values_encountered	16
df_it18_salary_strings_encountered	0
df_it18_salary_leading_trailing_whitespace	0
df_it18_salary_+-_characters_removed	0
df_it18_salary_commas_replaced	0
df_it19_u_salary_null_values_encountered	1
df_it19_u_salary_strings_encountered	0
df_it19_u_salary_leading_trailing_whitespace	0
df_it19_u_salary_+-_characters_removed	0
df_it19_u_salary_commas_replaced	0
df_it19_u_bonus_null_values_encountered	461
df_it19_u_bonus_strings_encountered	0
df_it19_u_bonus_leading_trailing_whitespace	0
df_it19_u_bonus_+-_characters_removed	0
df_it19_u_bonus_commas_replaced	0
df_it19_u_stocks_null_values_encountered	788
df_it19_u_stocks_strings_encountered	0
df_it19_u_stocks_leading_trailing_whitespace	0
df_it19_u_stocks_+-_characters_removed	0
df_it19_u_stocks_commas_replaced	0
df_it20_u_salary_null_values_encountered	0
df_it20_u_salary_strings_encountered	0
df_it20_u_salary_leading_trailing_whitespace	0
df_it20_u_salary_+-_characters_removed	0
df_it20_u_salary_commas_replaced	0
df_it20_u_bonus_null_values_encountered	434
df_it20_u_bonus_strings_encountered	872
df_it20_u_bonus_leading_trailing_whitespace	0
df_it20_u_bonus_+-_characters_removed	2
df_it20_u_bonus_commas_replaced	0
df_it21_u_salary_null_values_encountered	21
df_it21_u_salary_strings_encountered	0
df_it21_u_salary_leading_trailing_whitespace	0
df_it21_u_salary_+-_characters_removed	0
df_it21_u_salary_commas_replaced	0
df_it22_u_salary_eur_null_values_encountered	14
df_it22_u_salary_eur_strings_encountered	0
df_it22_u_salary_eur_leading_trailing_whitespace	0
df_it22_u_salary_eur_+-_characters_removed	0
df_it22_u_salary_eur_commas_replaced	0
df_it23_u_salary_eur_null_values_encountered	20
df_it23_u_salary_eur_strings_encountered	0
df_it23_u_salary_eur_leading_trailing_whitespace	0
df_it23_u_salary_eur_+-_characters_removed	0
df_it23_u_salary_eur_commas_replaced	0
