	DF_1	DF_2	DF_3	DF_4	DF_5	DF_6																																																																																																																																																																																																																																																																																																																																																																											
0	Time from Start to Finish (seconds)	Time from Start to Finish (seconds)	Time from Start to Finish (seconds)	Duration (in seconds)	City	work_year																																																																																																																																																																																																																																																																																																																																																																											
1	Q1	Q1	Q1	Q2	Your city	experience_level																																																																																																																																																																																																																																																																																																																																																																											
2	Q2	Q2	Q2	Q3	Employment status	employment_type																																																																																																																																																																																																																																																																																																																																																																											
3	Q2_OTHER_TEXT	Q3	Q3	Q4	Position	job_title																																																																																																																																																																																																																																																																																																																																																																											
4	Q3	Q4	Q4	Q5	Your position	salary																																																																																																																																																																																																																																																																																																																																																																											
5	Q4	Q5	Q5	Q6_1	Total years of experience	salary_currency																																																																																																																																																																																																																																																																																																																																																																											
6	Q5	Q6	Q6	Q6_2	Years of experience in Germany	salary_in_usd																																																																																																																																																																																																																																																																																																																																																																											
7	Q5_OTHER_TEXT	Q7_Part_1	Q7_Part_1	Q6_3	Seniority level	employee_residence																																																																																																																																																																																																																																																																																																																																																																											
8	Q6	Q7_Part_2	Q7_Part_2	Q6_4	Your seniority level	remote_ratio																																																																																																																																																																																																																																																																																																																																																																											
9	Q7	Q7_Part_3	Q7_Part_3	Q6_5	Main technology / programming language	company_location																																																																																																																																																																																																																																																																																																																																																																											
10	Q8	Q7_Part_4	Q7_Part_4	Q6_6	Your main technology	company_size																																																																																																																																																																																																																																																																																																																																																																											
11	Q9_Part_1	Q7_Part_5	Q7_Part_5	Q6_7	Other technologies/programming languages you use often																																																																																																																																																																																																																																																																																																																																																																												
12	Q9_Part_2	Q7_Part_6	Q7_Part_6	Q6_8	Years in the current workplace																																																																																																																																																																																																																																																																																																																																																																												
13	Q9_Part_3	Q7_Part_7	Q7_Part_7	Q6_9	What languages do you speak and use at work?																																																																																																																																																																																																																																																																																																																																																																												
14	Q9_Part_4	Q7_Part_8	Q7_Part_8	Q6_10	Company size																																																																																																																																																																																																																																																																																																																																																																												
15	Q9_Part_5	Q7_Part_9	Q7_Part_9	Q6_11	Annual gross salary without bonus and stocks in EUR																																																																																																																																																																																																																																																																																																																																																																												
16	Q9_Part_6	Q7_Part_10	Q7_Part_10	Q6_12	Annual gross salary with bonus and stocks in EUR																																																																																																																																																																																																																																																																																																																																																																												
17	Q9_Part_7	Q7_Part_11	Q7_Part_11	Q7_1	Annual gross salary+bonus+stocks one year ago.																																																																																																																																																																																																																																																																																																																																																																												
18	Q9_Part_8	Q7_Part_12	Q7_Part_12	Q7_2	Number of vacation days																																																																																																																																																																																																																																																																																																																																																																												
19	Q9_OTHER_TEXT	Q7_OTHER	Q7_OTHER	Q7_3	Hourly rate in EUR																																																																																																																																																																																																																																																																																																																																																																												
20	Q10	Q8	Q8	Q7_4	Working hours for the last year																																																																																																																																																																																																																																																																																																																																																																												
21	Q11	Q9_Part_1	Q9_Part_1	Q7_5	Number of days off in the last year																																																																																																																																																																																																																																																																																																																																																																												
22	Q12_Part_1	Q9_Part_2	Q9_Part_2	Q7_6	Third-party income from small customers or own projects (annualy, in EUR)																																																																																																																																																																																																																																																																																																																																																																												
23	Q12_Part_2	Q9_Part_3	Q9_Part_3	Q7_7	Working hours per week																																																																																																																																																																																																																																																																																																																																																																												
24	Q12_Part_3	Q9_Part_4	Q9_Part_4	Q8	layoff affects you																																																																																																																																																																																																																																																																																																																																																																												
25	Q12_Part_4	Q9_Part_5	Q9_Part_5	Q9	company_layoffs																																																																																																																																																																																																																																																																																																																																																																												
26	Q12_Part_5	Q9_Part_6	Q9_Part_6	Q10_1	Work From Home allowance																																																																																																																																																																																																																																																																																																																																																																												
27	Q12_Part_6	Q9_Part_7	Q9_Part_7	Q10_2	Did you already find a new job?																																																																																																																																																																																																																																																																																																																																																																												
28	Q12_Part_7	Q9_Part_8	Q9_Part_8	Q10_3	employment_status_change_in_2023																																																																																																																																																																																																																																																																																																																																																																												
29	Q12_Part_8	Q9_Part_9	Q9_Part_9	Q11	Do you currently search for a job?																																																																																																																																																																																																																																																																																																																																																																												
30	Q12_Part_9	Q9_Part_10	Q9_Part_10	Q12_1	How long have you been unemployed? (in months)																																																																																																																																																																																																																																																																																																																																																																												
31	Q12_Part_10	Q9_Part_11	Q9_Part_11	Q12_2	company_hire_in_2023																																																																																																																																																																																																																																																																																																																																																																												
32	Q12_Part_11	Q9_OTHER	Q9_Part_12	Q12_3	company_industry																																																																																																																																																																																																																																																																																																																																																																												
33	Q12_Part_12	Q10_Part_1	Q9_OTHER	Q12_4	change_jobs																																																																																																																																																																																																																																																																																																																																																																												
34	Q12_OTHER_TEXT	Q10_Part_2	Q10_Part_1	Q12_5	tc_new_job																																																																																																																																																																																																																																																																																																																																																																												
35	Q13_Part_1	Q10_Part_3	Q10_Part_2	Q12_6	change_jobs_voluntary																																																																																																																																																																																																																																																																																																																																																																												
36	Q13_Part_2	Q10_Part_4	Q10_Part_3	Q12_7	how_long_find_job																																																																																																																																																																																																																																																																																																																																																																												
37	Q13_Part_3	Q10_Part_5	Q10_Part_4	Q12_8	ai_impact																																																																																																																																																																																																																																																																																																																																																																												
38	Q13_Part_4	Q10_Part_6	Q10_Part_5	Q12_9	ai_use																																																																																																																																																																																																																																																																																																																																																																												
39	Q13_Part_5	Q10_Part_7	Q10_Part_6	Q12_10	ai_tool																																																																																																																																																																																																																																																																																																																																																																												
40	Q13_Part_6	Q10_Part_8	Q10_Part_7	Q12_11	ai_other_tools																																																																																																																																																																																																																																																																																																																																																																												
41	Q13_Part_7	Q10_Part_9	Q10_Part_8	Q12_12																																																																																																																																																																																																																																																																																																																																																																													
42	Q13_Part_8	Q10_Part_10	Q10_Part_9	Q12_13																																																																																																																																																																																																																																																																																																																																																																													
43	Q13_Part_9	Q10_Part_11	Q10_Part_10	Q12_14																																																																																																																																																																																																																																																																																																																																																																													
44	Q13_Part_10	Q10_Part_12	Q10_Part_11	Q12_15																																																																																																																																																																																																																																																																																																																																																																													
45	Q13_Part_11	Q10_Part_13	Q10_Part_12	Q13_1																																																																																																																																																																																																																																																																																																																																																																													
46	Q13_Part_12	Q10_OTHER	Q10_Part_13	Q13_2																																																																																																																																																																																																																																																																																																																																																																													
47	Q13_OTHER_TEXT	Q11	Q10_Part_14	Q13_3																																																																																																																																																																																																																																																																																																																																																																													
48	Q14	Q12_Part_1	Q10_Part_15	Q13_4																																																																																																																																																																																																																																																																																																																																																																													
49	Q14_Part_1_TEXT	Q12_Part_2	Q10_Part_16	Q13_5																																																																																																																																																																																																																																																																																																																																																																													
50	Q14_Part_2_TEXT	Q12_Part_3	Q10_OTHER	Q13_6																																																																																																																																																																																																																																																																																																																																																																													
51	Q14_Part_3_TEXT	Q12_OTHER	Q11	Q13_7																																																																																																																																																																																																																																																																																																																																																																													
52	Q14_Part_4_TEXT	Q13	Q12_Part_1	Q13_8																																																																																																																																																																																																																																																																																																																																																																													
53	Q14_Part_5_TEXT	Q14_Part_1	Q12_Part_2	Q13_9																																																																																																																																																																																																																																																																																																																																																																													
54	Q14_OTHER_TEXT	Q14_Part_2	Q12_Part_3	Q13_10																																																																																																																																																																																																																																																																																																																																																																													
55	Q15	Q14_Part_3	Q12_Part_4	Q13_11																																																																																																																																																																																																																																																																																																																																																																													
56	Q16_Part_1	Q14_Part_4	Q12_Part_5	Q13_12																																																																																																																																																																																																																																																																																																																																																																													
57	Q16_Part_2	Q14_Part_5	Q12_OTHER	Q13_13																																																																																																																																																																																																																																																																																																																																																																													
58	Q16_Part_3	Q14_Part_6	Q13	Q13_14																																																																																																																																																																																																																																																																																																																																																																													
59	Q16_Part_4	Q14_Part_7	Q14_Part_1	Q14_1																																																																																																																																																																																																																																																																																																																																																																													
60	Q16_Part_5	Q14_Part_8	Q14_Part_2	Q14_2																																																																																																																																																																																																																																																																																																																																																																													
61	Q16_Part_6	Q14_Part_9	Q14_Part_3	Q14_3																																																																																																																																																																																																																																																																																																																																																																													
62	Q16_Part_7	Q14_Part_10	Q14_Part_4	Q14_4																																																																																																																																																																																																																																																																																																																																																																													
63	Q16_Part_8	Q14_Part_11	Q14_Part_5	Q14_5																																																																																																																																																																																																																																																																																																																																																																													
64	Q16_Part_9	Q14_OTHER	Q14_Part_6	Q14_6																																																																																																																																																																																																																																																																																																																																																																													
65	Q16_Part_10	Q15	Q14_Part_7	Q14_7																																																																																																																																																																																																																																																																																																																																																																													
66	Q16_Part_11	Q16_Part_1	Q14_Part_8	Q14_8																																																																																																																																																																																																																																																																																																																																																																													
67	Q16_Part_12	Q16_Part_2	Q14_Part_9	Q14_9																																																																																																																																																																																																																																																																																																																																																																													
68	Q16_OTHER_TEXT	Q16_Part_3	Q14_Part_10	Q14_10																																																																																																																																																																																																																																																																																																																																																																													
69	Q17_Part_1	Q16_Part_4	Q14_Part_11	Q14_11																																																																																																																																																																																																																																																																																																																																																																													
70	Q17_Part_2	Q16_Part_5	Q14_OTHER	Q14_12																																																																																																																																																																																																																																																																																																																																																																													
71	Q17_Part_3	Q16_Part_6	Q15	Q14_13																																																																																																																																																																																																																																																																																																																																																																													
72	Q17_Part_4	Q16_Part_7	Q16_Part_1	Q14_14																																																																																																																																																																																																																																																																																																																																																																													
73	Q17_Part_5	Q16_Part_8	Q16_Part_2	Q14_15																																																																																																																																																																																																																																																																																																																																																																													
74	Q17_Part_6	Q16_Part_9	Q16_Part_3	Q14_16																																																																																																																																																																																																																																																																																																																																																																													
75	Q17_Part_7	Q16_Part_10	Q16_Part_4	Q15_1																																																																																																																																																																																																																																																																																																																																																																													
76	Q17_Part_8	Q16_Part_11	Q16_Part_5	Q15_2																																																																																																																																																																																																																																																																																																																																																																													
77	Q17_Part_9	Q16_Part_12	Q16_Part_6	Q15_3																																																																																																																																																																																																																																																																																																																																																																													
78	Q17_Part_10	Q16_Part_13	Q16_Part_7	Q15_4																																																																																																																																																																																																																																																																																																																																																																													
79	Q17_Part_11	Q16_Part_14	Q16_Part_8	Q15_5																																																																																																																																																																																																																																																																																																																																																																													
80	Q17_Part_12	Q16_Part_15	Q16_Part_9	Q15_6																																																																																																																																																																																																																																																																																																																																																																													
81	Q17_OTHER_TEXT	Q16_OTHER	Q16_Part_10	Q15_7																																																																																																																																																																																																																																																																																																																																																																													
82	Q18_Part_1	Q17_Part_1	Q16_Part_11	Q15_8																																																																																																																																																																																																																																																																																																																																																																													
83	Q18_Part_2	Q17_Part_2	Q16_Part_12	Q15_9																																																																																																																																																																																																																																																																																																																																																																													
84	Q18_Part_3	Q17_Part_3	Q16_Part_13	Q15_10																																																																																																																																																																																																																																																																																																																																																																													
85	Q18_Part_4	Q17_Part_4	Q16_Part_14	Q15_11																																																																																																																																																																																																																																																																																																																																																																													
86	Q18_Part_5	Q17_Part_5	Q16_Part_15	Q15_12																																																																																																																																																																																																																																																																																																																																																																													
87	Q18_Part_6	Q17_Part_6	Q16_Part_16	Q15_13																																																																																																																																																																																																																																																																																																																																																																													
88	Q18_Part_7	Q17_Part_7	Q16_Part_17	Q15_14																																																																																																																																																																																																																																																																																																																																																																													
89	Q18_Part_8	Q17_Part_8	Q16_OTHER	Q15_15																																																																																																																																																																																																																																																																																																																																																																													
90	Q18_Part_9	Q17_Part_9	Q17_Part_1	Q16																																																																																																																																																																																																																																																																																																																																																																													
91	Q18_Part_10	Q17_Part_10	Q17_Part_2	Q17_1																																																																																																																																																																																																																																																																																																																																																																													
92	Q18_Part_11	Q17_Part_11	Q17_Part_3	Q17_2																																																																																																																																																																																																																																																																																																																																																																													
93	Q18_Part_12	Q17_OTHER	Q17_Part_4	Q17_3																																																																																																																																																																																																																																																																																																																																																																													
94	Q18_OTHER_TEXT	Q18_Part_1	Q17_Part_5	Q17_4																																																																																																																																																																																																																																																																																																																																																																													
95	Q19	Q18_Part_2	Q17_Part_6	Q17_5																																																																																																																																																																																																																																																																																																																																																																													
96	Q19_OTHER_TEXT	Q18_Part_3	Q17_Part_7	Q17_6																																																																																																																																																																																																																																																																																																																																																																													
97	Q20_Part_1	Q18_Part_4	Q17_Part_8	Q17_7																																																																																																																																																																																																																																																																																																																																																																													
98	Q20_Part_2	Q18_Part_5	Q17_Part_9	Q17_8																																																																																																																																																																																																																																																																																																																																																																													
99	Q20_Part_3	Q18_Part_6	Q17_Part_10	Q17_9																																																																																																																																																																																																																																																																																																																																																																													
100	Q20_Part_4	Q18_OTHER	Q17_Part_11	Q17_10																																																																																																																																																																																																																																																																																																																																																																													
101	Q20_Part_5	Q19_Part_1	Q17_OTHER	Q17_11																																																																																																																																																																																																																																																																																																																																																																													
102	Q20_Part_6	Q19_Part_2	Q18_Part_1	Q17_12																																																																																																																																																																																																																																																																																																																																																																													
103	Q20_Part_7	Q19_Part_3	Q18_Part_2	Q17_13																																																																																																																																																																																																																																																																																																																																																																													
104	Q20_Part_8	Q19_Part_4	Q18_Part_3	Q17_14																																																																																																																																																																																																																																																																																																																																																																													
105	Q20_Part_9	Q19_Part_5	Q18_Part_4	Q17_15																																																																																																																																																																																																																																																																																																																																																																													
106	Q20_Part_10	Q19_OTHER	Q18_Part_5	Q18_1																																																																																																																																																																																																																																																																																																																																																																													
107	Q20_Part_11	Q20	Q18_Part_6	Q18_2																																																																																																																																																																																																																																																																																																																																																																													
108	Q20_Part_12	Q21	Q18_OTHER	Q18_3																																																																																																																																																																																																																																																																																																																																																																													
109	Q20_OTHER_TEXT	Q22	Q19_Part_1	Q18_4																																																																																																																																																																																																																																																																																																																																																																													
110	Q21_Part_1	Q23_Part_1	Q19_Part_2	Q18_5																																																																																																																																																																																																																																																																																																																																																																													
111	Q21_Part_2	Q23_Part_2	Q19_Part_3	Q18_6																																																																																																																																																																																																																																																																																																																																																																													
112	Q21_Part_3	Q23_Part_3	Q19_Part_4	Q18_7																																																																																																																																																																																																																																																																																																																																																																													
113	Q21_Part_4	Q23_Part_4	Q19_Part_5	Q18_8																																																																																																																																																																																																																																																																																																																																																																													
114	Q21_Part_5	Q23_Part_5	Q19_OTHER	Q18_9																																																																																																																																																																																																																																																																																																																																																																													
115	Q21_OTHER_TEXT	Q23_Part_6	Q20	Q18_10																																																																																																																																																																																																																																																																																																																																																																													
116	Q22	Q23_Part_7	Q21	Q18_11																																																																																																																																																																																																																																																																																																																																																																													
117	Q23	Q23_OTHER	Q22	Q18_12																																																																																																																																																																																																																																																																																																																																																																													
118	Q24_Part_1	Q24	Q23	Q18_13																																																																																																																																																																																																																																																																																																																																																																													
119	Q24_Part_2	Q25	Q24_Part_1	Q18_14																																																																																																																																																																																																																																																																																																																																																																													
120	Q24_Part_3	Q26_A_Part_1	Q24_Part_2	Q19_1																																																																																																																																																																																																																																																																																																																																																																													
121	Q24_Part_4	Q26_A_Part_2	Q24_Part_3	Q19_2																																																																																																																																																																																																																																																																																																																																																																													
122	Q24_Part_5	Q26_A_Part_3	Q24_Part_4	Q19_3																																																																																																																																																																																																																																																																																																																																																																													
123	Q24_Part_6	Q26_A_Part_4	Q24_Part_5	Q19_4																																																																																																																																																																																																																																																																																																																																																																													
124	Q24_Part_7	Q26_A_Part_5	Q24_Part_6	Q19_5																																																																																																																																																																																																																																																																																																																																																																													
125	Q24_Part_8	Q26_A_Part_6	Q24_Part_7	Q19_6																																																																																																																																																																																																																																																																																																																																																																													
126	Q24_Part_9	Q26_A_Part_7	Q24_OTHER	Q19_7																																																																																																																																																																																																																																																																																																																																																																													
127	Q24_Part_10	Q26_A_Part_8	Q25	Q19_8																																																																																																																																																																																																																																																																																																																																																																													
128	Q24_Part_11	Q26_A_Part_9	Q26	Q20_1																																																																																																																																																																																																																																																																																																																																																																													
129	Q24_Part_12	Q26_A_Part_10	Q27_A_Part_1	Q20_2																																																																																																																																																																																																																																																																																																																																																																													
130	Q24_OTHER_TEXT	Q26_A_Part_11	Q27_A_Part_2	Q20_3																																																																																																																																																																																																																																																																																																																																																																													
131	Q25_Part_1	Q26_A_OTHER	Q27_A_Part_3	Q20_4																																																																																																																																																																																																																																																																																																																																																																													
132	Q25_Part_2	Q27_A_Part_1	Q27_A_Part_4	Q20_5																																																																																																																																																																																																																																																																																																																																																																													
133	Q25_Part_3	Q27_A_Part_2	Q27_A_Part_5	Q20_6																																																																																																																																																																																																																																																																																																																																																																													
134	Q25_Part_4	Q27_A_Part_3	Q27_A_Part_6	Q21_1																																																																																																																																																																																																																																																																																																																																																																													
135	Q25_Part_5	Q27_A_Part_4	Q27_A_Part_7	Q21_2																																																																																																																																																																																																																																																																																																																																																																													
136	Q25_Part_6	Q27_A_Part_5	Q27_A_Part_8	Q21_3																																																																																																																																																																																																																																																																																																																																																																													
137	Q25_Part_7	Q27_A_Part_6	Q27_A_Part_9	Q21_4																																																																																																																																																																																																																																																																																																																																																																													
138	Q25_Part_8	Q27_A_Part_7	Q27_A_Part_10	Q21_5																																																																																																																																																																																																																																																																																																																																																																													
139	Q25_OTHER_TEXT	Q27_A_Part_8	Q27_A_Part_11	Q21_6																																																																																																																																																																																																																																																																																																																																																																													
140	Q26_Part_1	Q27_A_Part_9	Q27_A_OTHER	Q21_7																																																																																																																																																																																																																																																																																																																																																																													
141	Q26_Part_2	Q27_A_Part_10	Q28	Q21_8																																																																																																																																																																																																																																																																																																																																																																													
142	Q26_Part_3	Q27_A_Part_11	Q29_A_Part_1	Q21_9																																																																																																																																																																																																																																																																																																																																																																													
143	Q26_Part_4	Q27_A_OTHER	Q29_A_Part_2	Q21_10																																																																																																																																																																																																																																																																																																																																																																													
144	Q26_Part_5	Q28_A_Part_1	Q29_A_Part_3	Q22																																																																																																																																																																																																																																																																																																																																																																													
145	Q26_Part_6	Q28_A_Part_2	Q29_A_Part_4	Q23																																																																																																																																																																																																																																																																																																																																																																													
146	Q26_Part_7	Q28_A_Part_3	Q29_A_OTHER	Q24																																																																																																																																																																																																																																																																																																																																																																													
147	Q26_OTHER_TEXT	Q28_A_Part_4	Q30_A_Part_1	Q25																																																																																																																																																																																																																																																																																																																																																																													
148	Q27_Part_1	Q28_A_Part_5	Q30_A_Part_2	Q26																																																																																																																																																																																																																																																																																																																																																																													
149	Q27_Part_2	Q28_A_Part_6	Q30_A_Part_3	Q27																																																																																																																																																																																																																																																																																																																																																																													
150	Q27_Part_3	Q28_A_Part_7	Q30_A_Part_4	Q28_1																																																																																																																																																																																																																																																																																																																																																																													
151	Q27_Part_4	Q28_A_Part_8	Q30_A_Part_5	Q28_2																																																																																																																																																																																																																																																																																																																																																																													
152	Q27_Part_5	Q28_A_Part_9	Q30_A_Part_6	Q28_3																																																																																																																																																																																																																																																																																																																																																																													
153	Q27_Part_6	Q28_A_Part_10	Q30_A_Part_7	Q28_4																																																																																																																																																																																																																																																																																																																																																																													
154	Q27_OTHER_TEXT	Q28_A_OTHER	Q30_A_OTHER	Q28_5																																																																																																																																																																																																																																																																																																																																																																													
155	Q28_Part_1	Q29_A_Part_1	Q31_A_Part_1	Q28_6																																																																																																																																																																																																																																																																																																																																																																													
